Datetime,Symbol,Contract_month,Open,High,Low,Close,Volume
2018-12-03T16:00:00.000000Z,NQ,2018-12,7065.7504,7101.7504,7034.7504,7065.0,19666.0
2018-12-03T20:00:00.000000Z,NQ,2018-12,7036.0,7070.5,7004.7504,7012.5,16042.0
2018-12-04T00:00:00.000000Z,NQ,2018-12,7012.2496,7050.2496,6980.2496,7010.2496,24331.0
2018-12-04T04:00:00.000000Z,NQ,2018-12,7010.7504,7061.5,6995.5,7048.0,26939.0
2018-12-04T08:00:00.000000Z,NQ,2018-12,7018.7504,7079.7504,6992.2496,7022.2496,255561.0
2018-12-04T12:00:00.000000Z,NQ,2018-12,6993.5,7030.2496,6788.0,6833.5,458647.0
2018-12-04T16:00:00.000000Z,NQ,2018-12,6801.0,6865.5,6783.0,6823.5,35039.0
2018-12-04T20:00:00.000000Z,NQ,2018-12,6823.0,6866.7504,6819.7504,6836.7504,14393.0
2018-12-05T00:00:00.000000Z,NQ,2018-12,6836.7504,6880.0,6827.2496,6851.7504,18890.0
2018-12-05T04:00:00.000000Z,NQ,2018-12,6852.0,6879.5,6835.2496,6846.5,14844.0
2018-12-05T08:00:00.000000Z,NQ,2018-12,6846.0,6920.0,6844.0,6880.0,9282.0
2018-12-05T16:00:00.000000Z,NQ,2018-12,6834.5,6858.0,6641.0,6769.0,28424.0
2018-12-05T20:00:00.000000Z,NQ,2018-12,6740.5,6790.0,6669.0,6721.2496,50076.0
2018-12-06T00:00:00.000000Z,NQ,2018-12,6695.0,6762.5,6672.0,6729.5,38793.0
2018-12-06T04:00:00.000000Z,NQ,2018-12,6701.25,6740.0,6630.25,6673.25,54094.0
2018-12-06T08:00:00.000000Z,NQ,2018-12,6673.25,6785.5,6633.5,6785.5,403797.0
2018-12-06T12:00:00.000000Z,NQ,2018-12,6727.2496,6898.5,6707.0,6898.5,392032.0
2018-12-06T16:00:00.000000Z,NQ,2018-12,6843.5,6890.0,6820.7504,6860.0,31769.0
2018-12-06T20:00:00.000000Z,NQ,2018-12,6834.5,6880.0,6808.7504,6827.2496,20847.0
2018-12-07T00:00:00.000000Z,NQ,2018-12,6827.2496,6853.7504,6764.5,6790.0,26505.0
2018-12-07T04:00:00.000000Z,NQ,2018-12,6790.2496,6848.0,6774.7504,6793.0,28652.0
2018-12-07T08:00:00.000000Z,NQ,2018-12,6793.0,6877.5,6675.5,6701.0,352562.0
2018-12-07T12:00:00.000000Z,NQ,2018-12,6676.25,6738.0,6594.75,6649.5,390691.0
2018-12-07T16:00:00.000000Z,NQ,2018-12,6615.5,6654.5,6609.25,6654.5,17209.0
2018-12-09T16:00:00.000000Z,NQ,2018-12,6596.25,6665.0,6557.75,6570.0,19753.0
2018-12-09T20:00:00.000000Z,NQ,2018-12,6570.0,6626.0,6554.0,6595.25,20191.0
2018-12-10T00:00:00.000000Z,NQ,2018-12,6573.25,6665.0,6566.5,6582.5,27961.0
2018-12-10T04:00:00.000000Z,NQ,2018-12,6582.5,6670.0,6580.0,6658.0,32061.0
