Entry_Time,Side,Entry,Initial_SL,Qty,Capital_Start,Exit_Time,Exit,PnL
2010-04-29 06:30:00+00:00,BUY,2014.75,2003.9055919716643,1.0,99913.6975909663,2010-04-30 10:00:00+00:00,2032.75,18.0
2010-05-03 03:30:00+00:00,BUY,2004.0,1992.6448357834988,1.0,99931.6975909663,2010-05-03 04:30:00+00:00,2004.5,0.5
2010-05-03 05:00:00+00:00,SELL,2002.0,2013.0542897138293,1.0,99932.1975909663,2010-05-03 09:30:00+00:00,2013.0542897138293,-11.054289713829348
2010-05-03 10:00:00+00:00,BUY,2017.75,2003.7730302326186,1.0,99921.14330125248,2010-05-04 05:00:00+00:00,2019.0,1.25
2010-05-04 22:30:00+00:00,BUY,1969.25,1955.2088543312923,1.0,99922.39330125248,2010-05-04 23:30:00+00:00,1968.5,-0.75
2010-05-05 03:30:00+00:00,SELL,1962.25,1972.8799742314943,1.0,99921.64330125248,2010-05-05 12:00:00+00:00,1968.0,-5.75
2010-05-05 12:00:00+00:00,SELL,1955.5,1987.9748101113676,1.0,99915.89330125248,2010-05-05 13:00:00+00:00,1958.5,-3.0
2010-05-05 18:00:00+00:00,BUY,1960.5,1934.6289327265247,1.0,99912.89330125248,2010-05-06 09:00:00+00:00,1941.0,-19.5
2010-05-06 09:00:00+00:00,BUY,1942.0,1919.0996170245871,1.0,99893.39330125248,2010-05-06 10:00:00+00:00,1956.0,14.0
2010-05-07 02:00:00+00:00,BUY,1884.5,1842.0188659773644,1.0,99907.39330125248,2010-05-07 03:00:00+00:00,1879.0,-5.5
2010-05-07 03:30:00+00:00,BUY,1890.75,1847.4148782974987,1.0,99901.89330125248,2010-05-07 04:30:00+00:00,1901.0,10.25
2010-05-07 09:30:00+00:00,SELL,1872.5,1924.9443215432334,1.0,99912.14330125248,2010-05-10 03:30:00+00:00,1924.9443215432334,-52.4443215432334
2010-05-11 02:30:00+00:00,SELL,1921.75,1941.2481067092228,1.0,99859.69897970924,2010-05-11 03:30:00+00:00,1920.0,1.75
2010-05-11 09:30:00+00:00,BUY,1929.25,1902.3995655358935,1.0,99861.44897970924,2010-05-11 18:00:00+00:00,1930.25,1.0
2010-05-11 21:30:00+00:00,SELL,1929.0,1951.9541246780898,1.0,99862.44897970924,2010-05-12 04:00:00+00:00,1937.75,-8.75
2010-05-12 04:00:00+00:00,BUY,1939.0,1916.4592092874332,1.0,99853.69897970924,2010-05-13 09:30:00+00:00,1966.5,27.5
2010-05-13 09:30:00+00:00,SELL,1974.0,1996.1840667826382,1.0,99881.19897970924,2010-05-13 10:30:00+00:00,1978.75,-4.75
2010-05-13 11:30:00+00:00,SELL,1962.0,1988.516041216089,1.0,99876.44897970924,2010-05-17 05:30:00+00:00,1911.25,50.75
2010-05-17 05:30:00+00:00,SELL,1909.25,1934.4698613556936,1.0,99927.19897970924,2010-05-17 06:30:00+00:00,1912.25,-3.0
2010-05-17 12:00:00+00:00,SELL,1881.0,1920.0287224326116,1.0,99924.19897970924,2010-05-17 16:30:00+00:00,1920.0287224326116,-39.02872243261163
2010-05-18 03:30:00+00:00,SELL,1922.5,1941.9846095217147,1.0,99885.17025727662,2010-05-18 04:30:00+00:00,1921.0,1.5
2010-05-18 10:30:00+00:00,SELL,1901.25,1929.605690397748,1.0,99886.67025727662,2010-05-19 10:00:00+00:00,1883.75,17.5
2010-05-19 10:00:00+00:00,BUY,1867.75,1831.343484943897,1.0,99904.17025727662,2010-05-19 11:00:00+00:00,1871.25,3.5
2010-05-19 22:00:00+00:00,BUY,1871.0,1845.523803615484,1.0,99907.67025727662,2010-05-19 23:00:00+00:00,1869.25,-1.75
2010-05-20 04:00:00+00:00,SELL,1862.25,1882.5548815749737,1.0,99905.92025727662,2010-05-21 11:30:00+00:00,1820.75,41.5
2010-05-21 11:30:00+00:00,BUY,1827.0,1771.4747316740152,1.0,99947.42025727662,2010-05-24 18:30:00+00:00,1803.25,-23.75
2010-05-24 18:30:00+00:00,SELL,1805.25,1837.0289182715978,1.0,99923.67025727662,2010-05-25 12:30:00+00:00,1784.75,20.5
2010-05-26 04:00:00+00:00,SELL,1823.75,1847.5430390500026,1.0,99944.17025727662,2010-05-26 05:00:00+00:00,1826.5,-2.75
2010-05-26 09:30:00+00:00,BUY,1843.0,1814.0465556326449,1.0,99941.42025727662,2010-05-26 14:30:00+00:00,1814.0465556326449,-28.953444367355132
2010-05-27 02:30:00+00:00,BUY,1823.5,1800.3814544281972,1.0,99912.46681290926,2010-05-28 10:00:00+00:00,1861.25,37.75
2010-05-30 21:30:00+00:00,BUY,1861.75,1837.7373823083394,1.0,99950.21681290926,2010-05-30 22:30:00+00:00,1862.25,0.5
2010-05-31 03:00:00+00:00,SELL,1863.0,1878.7894211755263,1.0,99950.71681290926,2010-06-01 10:00:00+00:00,1850.0,13.0
2010-06-01 16:30:00+00:00,SELL,1834.5,1874.3070690206291,1.0,99963.71681290926,2010-06-02 11:30:00+00:00,1854.0,-19.5
2010-06-03 10:30:00+00:00,SELL,1887.75,1912.328116687472,1.0,99944.21681290926,2010-06-03 11:30:00+00:00,1886.0,1.75
2010-06-03 15:00:00+00:00,BUY,1897.25,1865.8324278808655,1.0,99945.96681290926,2010-06-04 07:30:00+00:00,1883.0,-14.25
2010-06-04 07:30:00+00:00,BUY,1877.5,1858.1365781954978,1.0,99931.71681290926,2010-06-04 08:30:00+00:00,1883.25,5.75
2010-06-07 05:00:00+00:00,BUY,1829.75,1805.6950575952228,1.0,99937.46681290926,2010-06-07 06:00:00+00:00,1835.75,6.0
2010-06-07 10:30:00+00:00,SELL,1813.75,1847.8981941280776,1.0,99943.46681290926,2010-06-09 09:00:00+00:00,1804.25,9.5
2010-06-09 09:00:00+00:00,BUY,1804.75,1784.0243886279493,1.0,99952.96681290926,2010-06-09 10:00:00+00:00,1802.75,-2.0
