Entry_Time,Exit_Time,Side,Entry,Exit,Contract,PnL,Equity
2021-03-04 22:00:00+00:00,2021-03-22 12:00:00+00:00,short,12403.5,13142.0,2021-06,-738.5,7208.001200000002
2021-03-24 05:00:00+00:00,2021-03-25 07:00:00+00:00,long,13130.2496,12741.0,2021-06,-389.2495999999992,6818.751600000003
2021-04-05 13:00:00+00:00,2021-05-04 09:00:00+00:00,long,13570.0,13543.2496,2021-06,-26.75040000000081,6792.001200000002
2021-05-12 09:00:00+00:00,2021-05-20 11:00:00+00:00,short,13158.0,13480.0,2021-06,-322.0,6470.001200000002
2021-05-24 09:00:00+00:00,2021-07-19 09:00:00+00:00,long,13510.0,14470.0,2021-06,960.0,7430.001200000002
2021-08-03 22:00:00+00:00,2021-09-20 04:00:00+00:00,long,15039.7504,15170.4992,2021-09,130.7487999999994,7560.750000000002
2021-09-30 12:00:00+00:00,2021-10-06 22:00:00+00:00,short,14750.4992,14879.5008,2021-12,-129.0015999999996,7431.748400000002
2021-10-18 13:00:00+00:00,2021-11-23 00:00:00+00:00,long,15220.0,16332.4992,2021-12,1112.4992000000002,8544.247600000002
2021-11-24 10:00:00+00:00,2021-11-25 01:00:00+00:00,short,16181.5008,16427.2496,2021-12,-245.7487999999994,8298.498800000003
2021-12-05 19:00:00+00:00,2021-12-07 03:00:00+00:00,short,15739.0,16090.0,2022-03,-351.0,7947.498800000003
2021-12-08 22:00:00+00:00,2021-12-14 01:00:00+00:00,long,16408.2496,16094.2496,2022-03,-314.0,7633.498800000003
2021-12-30 21:00:00+00:00,2022-01-11 04:00:00+00:00,short,16420.2496,15707.0,2022-03,713.2495999999992,8346.748400000002
2022-01-13 10:00:00+00:00,2022-01-14 06:00:00+00:00,long,15937.7504,15469.0,2022-03,-468.7504000000008,7877.998000000001
2022-01-19 21:00:00+00:00,2022-01-31 09:00:00+00:00,short,15055.5008,14620.7504,2022-03,434.750399999999,8312.7484
2022-02-01 21:00:00+00:00,2022-02-03 08:00:00+00:00,long,15138.4992,14700.7504,2022-03,-437.7487999999994,7874.999600000001
2022-02-04 09:00:00+00:00,2022-02-09 06:00:00+00:00,short,14417.2496,14902.2496,2022-03,-485.0,7389.999600000001
2022-02-17 01:00:00+00:00,2022-02-23 21:00:00+00:00,long,14520.4992,13330.7504,2022-03,-1189.7487999999994,6200.250800000002
2022-02-24 16:00:00+00:00,2022-03-08 00:00:00+00:00,long,13965.7504,13203.0,2022-03,-762.7504000000008,5437.500400000001
2022-03-09 00:00:00+00:00,2022-03-16 01:00:00+00:00,short,13328.0,13559.2496,2022-06,-231.2495999999992,5206.250800000002
2022-03-22 02:00:00+00:00,2022-04-06 06:00:00+00:00,long,14332.7504,14659.0,2022-06,326.2495999999992,5532.500400000001
2022-04-08 10:00:00+00:00,2025-04-01 16:00:00+00:00,short,14323.2496,19598.0,2022-06,-5274.750400000001,257.75
